generated_id,generated_formula,mp_id,mp_formula,mp_spacegroup,total_score,composition_match,lattice_score,volume_score,spacegroup_match,mp_volume,mp_a,mp_b,mp_c,mp_alpha,mp_beta,mp_gamma,mp_energy_above_hull,mp_band_gap,mp_is_stable,mp_is_polar,mp_point_group
14,O-H-Ga,mp-625628,GaHO2,43,77.47658107133438,100.0,87.46831856621806,46.81334786579032,False,133.0794799414994,6.201482347349704,6.009553615531273,5.248182858608587,66.45314963573995,62.66811551353227,50.878734850727774,0.23994719124999903,1.510699999999999,False,True,mm2
14,O-H-Ga,mp-673402,GaHO2,1,77.47658107133438,100.0,87.46831856621806,46.81334786579032,False,133.0794799414994,6.201482347349704,6.009553615531273,5.248182858608587,66.45314963573995,62.66811551353227,50.878734850727774,0.267181143124999,1.6336,False,True,1
140,O-Ba-I-H,mp-1204016,BaH8(IO6)2,15,77.38332015435635,100.0,84.94584052645882,50.76137985047886,False,501.01080929855937,7.634371439818016,7.634371439818016,9.61153311894398,85.63616343997869,85.63616343997869,63.89226881912562,0.0222451926087,1.9917999999999991,False,False,2/m
9,O-Sc-Ti,mp-780402,Sc2Ti2O7,4,75.72393016920742,100.0,85.64181875741383,41.2464680205629,False,963.9855703566585,5.098272,7.364079,25.93184678478116,81.94655176518816,90.0,90.0,0.056744149318181,2.8259,False,True,2
38,O-Sc-I,mp-30002,Sc(IO3)3,148,75.3179364118603,100.0,83.27792309350718,43.35331664566393,False,390.3507576667168,7.358365655552601,7.358365555987932,7.358365579335489,83.07470831393971,83.0747121615256,83.07471147961725,0.0,3.8452,True,False,-3
113,O-Si-H,mp-27949,Si2H6O,19,75.10136104754696,100.0,77.43411055463302,52.497111767127,False,531.3435170250043,4.907204,7.955327,13.610787,90.0,90.0,90.0,0.046734020925925004,5.2626,False,False,222
10,H-Cs-O,mp-626417,CsH3O2,38,72.19328855516149,100.0,84.79842260260882,25.06920322124204,False,75.67563998889591,4.425200974766878,4.591193143894383,4.25023165,90.0,90.0,118.79308370124438,0.0,4.0949,True,True,mm2
9,O-Sc-Ti,mp-754092,ScTiO3,33,70.8743546633493,100.0,86.97041824279641,14.673541391852785,False,214.54572810928386,5.155586,5.519722,7.539189,90.0,90.0,90.0,0.096638373874998,0.0,False,True,mm2
43,N-Cs-O,mp-768311,Cs3NO4,62,69.99510762905066,100.0,79.7880100189664,22.846520612062083,False,685.9250152833476,6.319105,8.919616,12.169561,90.0,90.0,90.0,0.033773386458337,3.3701,False,False,mmm
10,H-Cs-O,mp-28204,CsH7O4,14,69.26070560926698,100.0,75.56087978392087,26.571988424473357,False,498.1938042622179,5.94127075,8.59423531775867,12.302323522296314,52.47558584854764,90.0,90.0,0.0,4.7523,True,False,2/m
43,N-Cs-O,mp-1196533,CsNO3,205,69.10854486117648,100.0,79.19261053830137,19.455655863855036,False,805.4727175306276,9.304298,9.304298,9.304298,90.0,90.0,90.0,0.021673316333334,3.276399999999999,False,False,m-3
43,N-Cs-O,mp-561851,CsNO3,144,68.88608421364154,100.0,78.23102710213212,20.026123639476435,False,782.5278761941025,10.846900414859324,10.844804266521928,7.680832795714938,89.99256163594171,89.99247834378488,119.99233959331714,0.0,3.2965,True,True,3
9,O-Sc-Ti,mp-1219404,Sc4Ti3O12,1,68.3117774643836,100.0,82.46365254336249,9.747495371033587,False,208.99067834897923,5.929173,6.056483275942401,6.079671747891987,98.97940455779525,99.4919807350196,98.93024204529596,0.043876979736808,2.795899999999999,False,True,1
9,O-Sc-Ti,mp-753401,Sc2TiO5,36,68.2252158264271,100.0,86.55628582646796,2.1525789358165515,False,200.9679973897723,3.85441592,5.434489430824212,10.26110277,90.0,90.0,110.77048744627018,0.0,3.1323,True,True,mm2
51,O-Sc-I-H,mp-736217,ScH16I3O8,14,67.49541498436176,100.0,75.138854213106,18.484080048873373,False,1712.8253024380138,8.904759,13.27807,15.453270829545602,69.62316428936253,90.0,90.0,0.33466804386903704,2.5992,False,False,2/m
83,O-Sc-Ga,mp-754165,ScGaO3,194,57.26098925157213,100.0,56.45996929020609,0.0,False,110.7344127232281,3.2966854461348976,3.296686018788607,11.765131340000046,90.00001006469935,89.99999448356002,119.999977572706,0.017611347374997,2.6997,False,False,6/mmm
