material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-1221558,Na2OsO7,4,P2_1,20,0.226707234555553,False,0.9999905824661256,0.0378036610782146,True,False,False,0.5188971217721701,False,model_prediction,True
mp-675345,Bi5(S2Cl)3,1,P1,56,0.063772175892871,False,0.9999850988388062,0.0372188761830329,True,False,False,0.5186019875109196,False,model_prediction,True
mp-1192573,TbWBrO4,2,P-1,28,0.039040852916672,False,0.0371921360492706,0.9999043941497804,False,True,False,0.5185482650995255,False,model_prediction,True
mp-1218486,Sr2YTlCu2O7,25,Pmm2,13,0.010254122451927,False,0.9999390840530396,0.0367490053176879,True,False,False,0.5183440446853638,False,model_prediction,True
mp-30078,C3S8,2,P-1,22,0.180295664902596,False,0.0366677343845367,0.9999959468841552,False,True,False,0.518331840634346,False,model_prediction,True
mp-1217466,Ti6FeO16,1,P1,23,0.308026671630432,False,0.99977844953537,0.0367306247353553,True,False,False,0.5182545371353626,False,model_prediction,True
mp-772760,Dy2Zr2O7,4,P2_1,44,0.038280534999998,False,0.0365256965160369,0.9999518394470216,False,True,False,0.5182387679815292,False,model_prediction,True
mp-1223586,KAl(SiO3)3,156,P3m1,14,0.178108041785713,False,0.9999749660491944,0.036159973591566,True,False,False,0.5180674698203802,False,model_prediction,True
mp-1238354,H14Se2N3O8,2,P-1,54,0.217498125517938,False,0.0356223136186599,0.9999792575836182,False,True,False,0.5178007856011391,False,model_prediction,True
mp-770368,Li3V3(BO5)2,1,P1,36,0.060663777777777,False,0.9998431205749512,0.0353731140494346,True,False,False,0.5176081173121929,False,model_prediction,True
mp-560905,Na2NpH2(CO3)3,2,P-1,34,0.053925410735298,False,0.0352175533771514,0.9999862909317015,False,True,False,0.5176019221544266,False,model_prediction,True
mp-937591,Li7MnAs4,6,Pm,24,0.094328468437499,False,0.999985933303833,0.0351846665143966,True,False,False,0.5175852999091148,False,model_prediction,True
mp-753858,TiOF2,4,P2_1,16,0.055627160312498,False,0.9996484518051147,0.03546579554677,True,False,False,0.5175571236759424,False,model_prediction,True
mp-1207607,YScSi2O7,5,C2,11,0.007773638219696,False,0.0351160913705825,0.9999954700469972,False,True,False,0.5175557807087898,False,model_prediction,True
mp-1044092,PrMgTi2O6,31,Pmn2_1,20,0.071257156249997,False,0.0348272211849689,0.999997854232788,False,True,False,0.5174125377088785,False,model_prediction,True
mp-1444917,Mg(CuO2)2,8,Cm,14,0.206367417142857,False,0.0345213785767555,0.9999980926513672,False,True,False,0.5172597356140614,False,model_prediction,True
