Material_Name,Material_ID,Workflow_Status,Max_Distortion (Å),Spontaneous_Strain (unitless),Symmetry_Change (Delta_SG),Bandgap (eV),Avg_Distortion (Å),Structural_Delta,Volume_Change_Ratio,Delta_Bandgap (eV),Delta_E (eV/atom),Ps (uC/cm2),Label
FeHO2,mp-625268,DEFUSED,0.8095,0.0182,29,1.9719000000000002,0.5106,0.259,0.061998970300644426,-0.21799999999999975,null,null,none_ferroelectric
TiCdO3,mp-5052,COMPLETED,0.1204,0.0041,29,2.4146,0.0824,0.027,0.011744022756232085,0.30580000000000007,0.0035632195000001587,34.83230967737538,ferroelectric
InBiO3,mp-556892,COMPLETED,1.374,0.0089,29,2.7737,0.7787,0.231,0.025085830903485182,0.3448000000000002,0.011034071999999284,64.74323849972691,none_ferroelectric
NbPO5,mp-556918,COMPLETED,0.1551,0.0011,29,2.2581,0.0768,0.025,-0.0046410438300449105,0.09399999999999986,-0.000605449999998342,4.020326841267374,ferroelectric
LiMnPO4,mp-780646,COMPLETED,1.1483,0.0625,29,3.1529000000000003,0.5479,0.206,0.07101655032684051,-0.2570999999999999,-0.06674566821428662,13.017072035832152,none_ferroelectric
CsZnPO4,mp-559752,COMPLETED,0.6514,0.013,29,3.9656,0.2985,0.159,-0.02062173953981744,0.07760000000000034,0.012272304642857002,0.96244995674462,ferroelectric
LiMnPO4,mp-761551,COMPLETED,1.0466,0.0721,29,3.0320000000000005,0.5574,1.018,0.03686545061310736,-1.1410999999999993,0.01443030357142927,23.169574518117827,none_ferroelectric
PbN6,mp-620058,COMPLETED,0.1537,0.0081,29,2.2917999999999994,0.0432,0.044,0.012118816880240151,0.0055000000000005045,-0.00032794464285679226,0.4294602477286444,ferroelectric
LiMnPO4,mp-766735,COMPLETED,0.8046,0.0479,29,3.3658999999999994,0.4182,0.555,0.009003011796322789,-0.7914999999999996,0.02986187000000129,5.3237804433412785,none_ferroelectric
Li2FeF4,mp-777471,COMPLETED,1.0832,0.05,30,3.5611999999999995,0.6022,0.466,-0.04433121067983025,0.10900000000000043,0.04505446285714321,57.169818200651285,none_ferroelectric
LiVSiO4,mp-767103,COMPLETED,1.3424,0.0654,29,2.635,0.7966,0.281,0.4188021400924539,1.2504999999999993,0.018772486428570545,1.6973644948681224,none_ferroelectric
LiCrPO4,mp-761399,COMPLETED,1.3641,0.0769,30,2.6497,0.702,0.786,0.2196104365609762,1.3781999999999996,0.02763620642857134,38.154515386568235,none_ferroelectric
LiCuPO4,mp-752507,DEFUSED,1.1878,0.0851,30,0.11529999999999996,0.6542,0.997,0.1577738974090285,0.0,null,null,none_ferroelectric
LiFePO4,mp-766763,COMPLETED,1.3306,0.0868,30,3.3203000000000005,0.667,1.042,0.21810986755461653,-0.3017000000000003,0.01312685035714356,25.22057884725713,none_ferroelectric
LiMnPO4,mp-780646,COMPLETED,1.3731,0.0826,30,3.1529000000000003,0.7777,1.207,0.09485395326330592,-0.06330000000000036,0.010813681071429215,13.017094694595102,none_ferroelectric
